ToyNetwork,2,27
1
3
6
9
12
14
17
21
25
29
32
35
39
43
47
50
53
57
61
65
68
70
73
76
79
2, 1, 3.72, 300, ALPHA, BETA
6, 1, 3.72, 300, ALPHA, BETA
1, 2, 3.72, 300, ALPHA, BETA
3, 2, 5.4, 300, ALPHA, BETA
7, 2, 4.02, 300, ALPHA, BETA
2, 3, 5.4, 300, ALPHA, BETA
4, 3, 3.3, 300, ALPHA, BETA
8, 3, 1.37, 200, ALPHA, BETA
3, 4, 3.3, 300, ALPHA, BETA
5, 4, 4.98, 300, ALPHA, BETA
9, 4, 3.09, 300, ALPHA, BETA
4, 5, 4.98, 300, ALPHA, BETA
10, 5, 4.59, 300, ALPHA, BETA
1, 6, 3.72, 300, ALPHA, BETA
7, 6, 4.17, 300, ALPHA, BETA
11, 6, 4.32, 300, ALPHA, BETA
2, 7, 4.02, 300, ALPHA, BETA
6, 7, 4.17, 300, ALPHA, BETA
8, 7, 4.02, 300, ALPHA, BETA
12, 7, 4.11, 300, ALPHA, BETA
3, 8, 1.37, 200, ALPHA, BETA
7, 8, 4.02, 300, ALPHA, BETA
9, 8, 5.55, 300, ALPHA, BETA
13, 8, 1.41, 200, ALPHA, BETA
4, 9, 3.09, 300, ALPHA, BETA
8, 9, 5.55, 300, ALPHA, BETA
10, 9, 3.42, 300, ALPHA, BETA
14, 9, 4.11, 300, ALPHA, BETA
5, 10, 4.59, 300, ALPHA, BETA
9, 10, 3.42, 300, ALPHA, BETA
15, 10, 3.42, 300, ALPHA, BETA
6, 11, 4.32, 300, ALPHA, BETA
12, 11, 1.23, 200, ALPHA, BETA
16, 11, 4.35, 300, ALPHA, BETA
7, 12, 4.11, 300, ALPHA, BETA
11, 12, 1.23, 200, ALPHA, BETA
13, 12, 1.85, 200, ALPHA, BETA
17, 12, 5.49, 300, ALPHA, BETA
8, 13, 1.41, 200, ALPHA, BETA
12, 13, 1.85, 200, ALPHA, BETA
14, 13, 1.89, 200, ALPHA, BETA
18, 13, 2.15, 200, ALPHA, BETA
9, 14, 4.11, 300, ALPHA, BETA
13, 14, 1.89, 200, ALPHA, BETA
15, 14, 1.03, 200, ALPHA, BETA
19, 14, 5.46, 300, ALPHA, BETA
10, 15, 3.42, 300, ALPHA, BETA
14, 15, 1.03, 200, ALPHA, BETA
20, 15, 6.09, 300, ALPHA, BETA
11, 16, 4.35, 300, ALPHA, BETA
17, 16, 3.09, 300, ALPHA, BETA
21, 16, 5.58, 300, ALPHA, BETA
12, 17, 5.49, 300, ALPHA, BETA
16, 17, 3.09, 300, ALPHA, BETA
18, 17, 4.5, 300, ALPHA, BETA
22, 17, 4.02, 300, ALPHA, BETA
13, 18, 2.15, 200, ALPHA, BETA
17, 18, 4.5, 300, ALPHA, BETA
19, 18, 5.94, 300, ALPHA, BETA
23, 18, 1.79, 200, ALPHA, BETA
14, 19, 5.46, 300, ALPHA, BETA
18, 19, 5.94, 300, ALPHA, BETA
20, 19, 2.97, 300, ALPHA, BETA
24, 19, 5.85, 300, ALPHA, BETA
15, 20, 6.09, 300, ALPHA, BETA
19, 20, 2.97, 300, ALPHA, BETA
25, 20, 4.05, 300, ALPHA, BETA
16, 21, 5.58, 300, ALPHA, BETA
22, 21, 5.76, 300, ALPHA, BETA
17, 22, 4.02, 300, ALPHA, BETA
21, 22, 5.76, 300, ALPHA, BETA
23, 22, 4.44, 300, ALPHA, BETA
18, 23, 1.79, 200, ALPHA, BETA
22, 23, 4.44, 300, ALPHA, BETA
24, 23, 5.1, 300, ALPHA, BETA
19, 24, 5.85, 300, ALPHA, BETA
23, 24, 5.1, 300, ALPHA, BETA
25, 24, 3.0, 300, ALPHA, BETA
20, 25, 4.05, 300, ALPHA, BETA
24, 25, 3.0, 300, ALPHA, BETA
