ToyNetwork	2	12
1	1.032585	1.039638
4	2.093707	1.062656
8	3.175866	0.963232
11	0.981227	1.974702
15	2.18122	2.060206
19	3.109424	2.052639
22	0.9651	3.012762
25	2.023409	3.155974
28	3.047358	3.139021
30	0	0
2	1	3.252421	300
4	1	2.959266	300
10	1	999999 	1
1	2	3.252421	300
3	2	3.544749	300
5	2	1.302076	200
10	2	999999 	1
2	3	3.544749	300
6	3	3.467546	300
10	3	999999 	1
1	4	2.959266	300
5	4	1.542598	200
7	4	3.16256	300
10	4	999999 	1
2	5	1.302076	200
4	5	1.542598	200
6	5	1.122925	200
8	5	1.504295	200
3	6	3.467546	300
5	6	1.122925	200
9	6	3.445343	300
4	7	3.16256	300
8	7	3.604563	300
10	7	999999 	1
5	8	1.504295	200
7	8	3.604563	300
9	8	3.122708	300
6	9	3.445343	300
8	9	3.122708	300
1	10	0	999999
2	10	0	999999
3	10	0	999999
4	10	0	999999
7	10	0	999999
